201
0.0 6.3469999999999995  74355940.7262015 0.0
0.0 6.346999970257625  74355940.72628903 0.000626793396399548
0.0 6.346999936879442  74355940.7263932 0.002050254650720509
0.0 6.346999899243981  74355940.72652619 0.005227818925941788
0.0 6.34699985635182  74355940.72670016 0.012168581053230182
0.0 6.346999806727777  74355940.72695376 0.027008962367834302
0.0 6.3469997480671045  74355940.7273507 0.05787606267778679
0.0 6.346999676224494  74355940.72795378 0.12029360440483101
0.0 6.3469995839652515  74355940.72896911 0.24318429229538696
0.0 6.34699945872816  74355940.73071274 0.47888175637563174
0.0 6.346999279170138  74355940.73371913 0.9187690454670796
0.0 6.346999009896161  74355940.7388712 1.717466368428692
0.0 6.346998593533976  74355940.7476018 3.1298040671609932
0.0 6.346997940060608  74355940.76218139 5.561774393639154
0.0 6.346996912025169  74355940.78615664 9.642765182698762
0.0 6.346995302360485  74355940.82508354 16.334654127532154
0.0 6.346992812578958  74355940.88748606 27.048568764973826
0.0 6.346989035395208  74355940.98612307 43.74973799301668
0.0 6.346983410457048  74355941.14067839 69.1905777145481
0.0 6.346975197548826  74355941.38121952 107.08301624988638
0.0 6.346963447445694  74355941.75345781 162.29510471005156
0.0 6.34694696651764  74355942.30109589 241.10020148157523
0.0 6.346924286661833  74355943.07720284 351.4330606718978
0.0 6.346893671594227  74355944.15933952 502.99347912772447
0.0 6.346853068718958  74355945.64633846 707.658145960914
0.0 6.3468001642863285  74355947.6604823 979.450324585881
0.0 6.346732645403288  74355950.3423565 1333.4984232612856
0.0 6.346647991427923  74355953.86426516 1787.4917027204858
0.0 6.346543659959056  74355958.43054312 2361.294656032318
0.0 6.346417277997129  74355964.2768906 3076.538009515392
0.0 6.346266744661146  74355971.6750894 3956.791272398494
0.0 6.346090376848079  74355980.93543442 5027.419608744245
0.0 6.345887005794333  74355992.06813885 6315.540827055619
0.0 6.345656091323627  74356005.60004465 7849.4602637738935
0.0 6.345397637908326  74356021.9211986 9658.96737917191
0.0 6.3451120647997445  74356041.46735488 11775.277252974014
0.0 6.344799606346706  74356064.75165612 14234.00847011619
0.0 6.344460184235462  74356092.36347747 17074.474975416975
0.0 6.344094554708193  74356124.8358885 20326.149090488136
0.0 6.343701071612747  74356162.88177061 24032.68376343568
0.0 6.3432765455147155  74356207.3265683 28243.766445006102
0.0 6.342817651700356  74356258.94355285 32999.07209405433
0.0 6.342318178532549  74356318.76045668 38356.472476196155
0.0 6.341772389846225  74356387.728858 44360.58043709101
0.0 6.341172049896011  74356467.14687718 51079.295535473866
0.0 6.3405108234483265  74356558.17663169 58560.813986406756
0.0 6.339779434329817  74356662.56316866 66892.59092018945
0.0 6.338971557933309  74356781.86808982 76136.89851206333
0.0 6.338082091268535  74356917.68800928 86350.83844922206
0.0 6.337101732483617  74357072.48576654 97647.47647634936
