201
0.0 6.3469999999999995  114329409.24034303 0.0
0.0 6.346999977065497  114329409.24045187 0.0005913947499670999
0.0 6.34699995089297  114329409.24057749 0.0019335167036202093
0.0 6.346999921574365  114329409.24072622 0.0048902988725621046
0.0 6.346999889087844  114329409.2409089 0.011410932572010805
0.0 6.346999851439014  114329409.24114627 0.025493781809994932
0.0 6.346999806196134  114329409.24147426 0.05474045209982193
0.0 6.346999749996694  114329409.24196035 0.11384739338736899
0.0 6.346999676846746  114329409.24272348 0.23180745629651742
0.0 6.346999576602445  114329409.24397135 0.45812343621481616
0.0 6.34699942576702  114329409.24606167 0.8857687913709259
0.0 6.346999194722423  114329409.24956547 1.678029953045256
0.0 6.3469988472094645  114329409.2554314 3.092141214946805
0.0 6.34699828217448  114329409.26507631 5.562702259626324
0.0 6.34699741877216  114329409.28075267 9.641049450224656
0.0 6.346995972033773  114329409.30565363 16.624030698571335
0.0 6.346993706212056  114329409.34477969 27.840687020592352
0.0 6.3469903885891386  114329409.40403399 45.33507084435745
0.0 6.3469853325237535  114329409.49242471 72.6130636514462
0.0 6.346978090145651  114329409.62105192 112.46714363511441
0.0 6.34696726221253  114329409.8057083 173.49484343149538
0.0 6.346952263123491  114329410.0647841 259.3056957851273
0.0 6.346931276647933  114329410.4238128 383.2109028840277
0.0 6.346903215629126  114329410.91207735 549.43924290843
0.0 6.346866129856389  114329411.56608017 775.3577876996145
0.0 6.346818612250152  114329412.42836735 1071.3520960115757
0.0 6.346757105161642  114329413.54601239 1454.8470012422813
0.0 6.3466767624238285  114329414.98347196 1944.9630869316745
0.0 6.34658176614351  114329416.79945536 2556.042475191272
0.0 6.346461434418958  114329419.0740892 3302.2383081033945
0.0 6.346313705012797  114329421.89710875 4260.645913634336
0.0 6.346142139098847  114329425.35045058 5356.732484409812
0.0 6.345949304486289  114329429.56918505 6656.20231030468
0.0 6.345726728267597  114329434.63596988 8174.751081981027
0.0 6.345471851215793  114329440.74740198 9886.822621589376
