201
0.0 6.3469999999999995  113613738.61706276 0.0
0.0 6.346999948041448  113613738.61717187 0.00015762486637811756
0.0 6.346999943496373  113613738.61729723 0.00046472458229482517
0.0 6.3469999416404725  113613738.61744578 0.003000158667088843
0.0 6.346999936435017  113613738.61762875 0.005020182392343751
0.0 6.346999933510498  113613738.61786628 0.008729521625480846
0.0 6.346999920823095  113613738.61819312 0.015988515250190263
0.0 6.346999888395792  113613738.61867417 0.02651294431984782
0.0 6.346999870118264  113613738.61943835 0.1534976079091892
0.0 6.3469998568099095  113613738.62069784 0.21917182398331905
0.0 6.34699983135803  113613738.62278607 0.2829605057009873
0.0 6.346999764025439  113613738.62613419 0.9420336388834006
0.0 6.346999724514396  113613738.63197969 1.1903910287052504
0.0 6.346996394029398  113613738.64167517 1.7704751514057935
0.0 6.346996248454542  113613738.65783219 3.109497726139671
0.0 6.34699576911194  113613738.68198925 4.562915833393548
0.0 6.346995533500101  113613738.71755832 6.482609216807434
0.0 6.346994982634045  113613738.78030372 12.223648213983454
0.0 6.346983697731421  113613738.87313145 16.034620060491633
0.0 6.346979056214308  113613738.9990123 56.14016979640951
0.0 6.3469774813890325  113613739.18534769 72.55633659021959
0.0 6.346974333181807  113613739.4409977 116.82978499922706
0.0 6.346970978947458  113613739.80272126 155.27318045924721
0.0 6.346968568042085  113613740.2892652 172.88714918677184
0.0 6.346941145856227  113613740.95980217 619.4248441832096
0.0 6.346935642823118  113613741.83374445 661.4893298654616
0.0 6.346921373186782  113613742.92051059 774.0666933997597
0.0 6.346875033723987  113613744.35056806 951.5048629600068
0.0 6.346833438616674  113613746.19557305 1057.2919768328065
0.0 6.346822159993311  113613748.49872902 1155.2648682626743
0.0 6.346796570817662  113613751.45203954 1332.1490277387627
0.0 6.3460385747045525  113613754.99136826 2563.949220427055
0.0 6.34601909362955  113613759.16555709 2755.4334216154734
0.0 6.345990196488547  113613764.1621943 3009.8806931276695
0.0 6.345867808377731  113613770.32785693 4799.524377441852
0.0 6.345802930622577  113613777.53156587 5376.991216657126
0.0 6.345534801067062  113613786.41156994 6132.978828161212
0.0 6.345456000307599  113613796.81076358 7051.867614311322
0.0 6.345218938095072  113613808.52544162 9289.645089238158
0.0 6.344345674608817  113613823.37622374 10868.249755683355
0.0 6.344278412359529  113613839.46416257 11441.499565164844
0.0 6.343108292291763  113613857.84959462 26036.41011712319
0.0 6.343036095149715  113613879.98147552 26632.04579374764
0.0 6.3428545506030645  113613904.30983628 28441.954512348544
0.0 6.342724610537312  113613931.91128318 29403.157990972773
0.0 6.342583963312113  113613967.21922621 30334.683864867256
0.0 6.342076559716212  113614005.00389501 35690.35428023589
0.0 6.341791463449956  113614045.85762598 37343.04261261818
0.0 6.341486886270189  113614092.31739922 40099.480007139166
0.0 6.341177068964835  113614146.71537161 42659.783518515185
0.0 6.340826835082737  113614205.73561038 45085.10666483695
0.0 6.3402569742088914  113614272.04903102 48690.65961144787
0.0 6.339420717388136  113614350.7397112 54115.680650712326
0.0 6.338855476314299  113614435.76472887 58689.56686409173
0.0 6.338267820269975  113614534.11245519 64216.47644278798
0.0 6.337197819449006  113614647.36508068 74720.7698845767
0.0 6.3363501645131795  113614772.00418475 78002.18128788465
0.0 6.335430662294413  113614926.41739415 83569.01446257463
0.0 6.334845870607897  113615090.03946167 87509.38131356995
0.0 6.333032277408327  113615278.79809768 98105.48309525404
0.0 6.332385023118438  113615487.70308517 102753.40003215573
0.0 6.331472759989122  113615713.36748211 108570.96519694732
0.0 6.330064301969689  113615964.86032486 116087.95657984237
0.0 6.328736829879994  113616250.1073877 123789.55345798492
0.0 6.326730992596429  113616606.83230439 140087.3548064783
0.0 6.325384769358069  113616991.56503716 148261.32556408935
0.0 6.322581357502463  113617402.52720502 157472.75993819747
0.0 6.3212382137410525  113617877.50109658 166015.26201791552
0.0 6.319628993068828  113618424.1751395 175748.63129143137
0.0 6.316818500979798  113619042.39729473 204858.52629770103
0.0 6.31368722285529  113619721.10067284 228163.63607941807
0.0 6.311687528937732  113620489.12255898 238334.5439363268
0.0 6.309822427697629  113621340.20104262 249950.2929567714
0.0 6.308194085078453  113622282.1538462 260094.54609995437
0.0 6.305891783971957  113623385.03725202 277997.42705154215
0.0 6.302859417090891  113624665.64272793 300539.20470166754
0.0 6.300091209597857  113626106.17570727 316167.2462591282
0.0 6.296232806271683  113627721.8855332 332019.00002073
0.0 6.2916497321893345  113629469.0013075 349279.317453463
0.0 6.288543084414629  113631459.37501703 367202.20903338713
0.0 6.285750687627666  113633753.563715 382824.9425117174
0.0 6.281261067639562  113636404.04574612 412338.17906779563
0.0 6.2764556629166215  113639490.25202844 455117.7360662597
0.0 6.272150869660672  113642827.45251794 485300.26518723264
0.0 6.268507148048768  113646548.73514 506231.9509963625
0.0 6.263580037209095  113650676.60123897 539166.1592845966
0.0 6.258136838548475  113655573.26545574 572130.1192196026
0.0 6.253190547227011  113660607.89362769 597632.2552980228
0.0 6.248302654404636  113666719.5930471 624849.19279493
0.0 6.242030367028781  113673649.04214972 659806.6504582334
0.0 6.2353749247072425  113681827.30353056 703496.7149565605
0.0 6.227298075827886  113691376.79866835 742071.5111793516
0.0 6.2197201746424655  113701820.20569623 787219.8200699184
0.0 6.21034881285313  113714398.15896991 853051.2799495345
0.0 6.201792033804494  113727453.39275745 899155.4793268332
0.0 6.1922644505590245  113743057.41912016 952335.4213217195
0.0 6.180436130824903  113759958.71719329 1003233.7798833213
0.0 6.168633627476491  113781970.00030524 1075932.4666218983
0.0 6.156649750010183  113805697.35348986 1145442.7652498195
0.0 6.1433620442901  113832995.06084698 1214914.5183515833
0.0 6.129742498190974  113863449.74957538 1291527.972391502
0.0 6.114988480820482  113898278.44805208 1371101.6697763011
0.0 6.09805484529987  113941637.04319058 1471093.704483024
0.0 6.079678054784667  113991326.23042853 1570902.0988564838
0.0 6.061803228159185  114046486.06463265 1676621.7880177442
0.0 6.041820702857105  114111410.97688852 1793366.1785262802
0.0 6.020108201817141  114186167.34669122 1920250.7340954617
0.0 5.996851817868104  114274752.24794644 2058831.96650476
0.0 5.971076120801888  114377995.02962703 2218326.5791301215
0.0 5.942183783896548  114497491.95775442 2400080.5847821143
0.0 5.910665725806824  114632613.87845595 2587684.254140294
0.0 5.8750059455475  114799523.62598285 2837675.4880322665
0.0 5.836898781504955  114993943.86224678 3107833.6004973813
0.0 5.792588002080857  115214705.83237363 3414902.4707944687
0.0 5.746563713671859  115484396.29511099 3777594.830846684
0.0 5.698393959746714  115780367.0917662 4157827.8706115815
0.0 5.642766411008043  116131461.32523982 4623310.074411
0.0 5.582671066132129  116551589.59246951 5174000.822392331
0.0 5.5201816475505  117023498.25549567 5760090.429780182
0.0 5.4505703549349525  117573898.86059101 6467154.087668551
0.0 5.371808119830973  118245397.17791323 7330120.161238853
0.0 5.2842548336278945  119032892.75504579 8343029.561843544
0.0 5.191074315069812  119955735.66573352 9538665.115728159
0.0 5.094141278582381  120968982.3586032 10814905.67665285
0.0 4.986218427685624  122211172.92963849 12457255.505408568
0.0 4.870827713068751  123610453.98966458 14308324.51939167
0.0 4.7487099190219855  125258765.61836433 16484953.152661791
0.0 4.619775654000045  127140659.25127292 18986484.00856265
0.0 4.48321122486206  129333906.93714888 21833191.544565875
0.0 4.348621938736412  131712156.03522526 24953634.29067805
0.0 4.207172353750837  134502458.66243282 28595551.524501387
0.0 4.059683099639076  137670475.73871246 32850910.1618392
0.0 3.90509791085925  141367696.18197834 37893347.41767385
0.0 3.7475757217074337  145508431.79303002 43510629.2196833
0.0 3.589304654763054  150181026.74339783 49904600.65699693
0.0 3.429186609227163  155414330.64583302 57091165.029139444
0.0 3.2675318631326515  161192050.83828562 65203304.63755752
0.0 3.1052251979600998  167462197.8973386 74155195.10425986
0.0 2.940962581442735  174387100.87396094 84461971.81677806
0.0 2.7802333626205193  181730589.27970397 95755886.78842212
0.0 2.6228886694142233  189185235.17846307 107761508.97939834
0.0 2.464248753994662  196602947.598142 120706172.24676676
0.0 2.3138166307134806  203531799.3071645 133883436.94178759
0.0 2.1680578407642734  209531607.66846344 146736262.55338314
0.0 2.026205456418238  214240172.7432068 158949439.35701063
0.0 1.8895437412454772  217448789.055203 170052118.79897356
0.0 1.759265191078276  219143926.45070526 179003804.56406653
0.0 1.6475286918204606  219594082.4748275 185309307.81042933
0.0 1.5376938565518818  219374500.84889203 190121862.07367045
0.0 1.4391540756512717  219019392.28466097 193541802.46043736
0.0 1.3418543385661361  219029746.3632057 196432995.71390948
0.0 1.2526790779105865  219754308.9299642 199020473.6701746
0.0 1.1674035114550625  221485965.86889872 202045803.1680176
0.0 1.0871109693561718  224424600.23978844 205989433.40167898
0.0 1.005684241697326  228558002.75292328 211038078.56078395
0.0 0.9307275377800257  233700037.39647287 217093635.6920437
0.0 0.8571009529990519  239747248.07633746 224259699.26152366
0.0 0.7842567106630551  246324381.3232011 232117875.7515001
0.0 0.7153671197288667  253026418.26530045 240290022.52909797
0.0 0.6474395512053599  259544508.21489173 248340379.463183
0.0 0.5792938606589567  265827367.81242418 256229281.49791518
0.0 0.508145373000966  271594807.9512236 263565977.02948385
0.0 0.44394611541308493  276873152.800674 270176217.1367483
0.0 0.377029602688324  281842406.507597 276305259.5237447
0.0 0.31868672596815784  286642631.25269526 282017831.03505445
0.0 0.2631002303030494  291417402.4447196 287448349.5449043
0.0 0.21300076340698537  296576445.9343595 293092400.32967
0.0 0.1746778558293264  302402381.39262134 299214218.2566087
0.0 0.1417495475447969  309228892.7539547 306254364.53831804
0.0 0.10975372229531348  317297285.21346897 314459737.3199193
0.0 0.0841350319518402  327041298.88870513 324260881.2100853
0.0 0.0661789829030406  338784533.04246724 335976705.4210833
0.0 0.05304248479542035  352750513.27536595 349958158.9421336
0.0 0.04193681101845953  369765035.7198986 367007688.96443546
0.0 0.035645121597719785  390502925.50277996 387660155.1461924
0.0 0.031045068797743415  415794740.09709275 412898810.8529343
0.0 0.02943733936299618  447149342.7796082 444158929.10289985
0.0 0.023039289461802406  486148853.7752972 482834313.7547951
0.0 0.021465775131464047  534804283.9561743 531227909.4563542
0.0 0.020483584859604824  596964344.1192532 593156260.5517819
0.0 0.01935991490383715  675797554.605546 671907431.4327643
0.0 0.015793827652419865  770676045.6020888 766597133.0942392
0.0 0.012942924192491753  878021955.0693125 874129661.0925052
0.0 0.010492382329987572  1000659634.1394376 997282607.9509153
0.0 0.008718976512619353  1141260618.2588546 1138104812.4896865
0.0 0.008616298610948087  1300779656.4075313 1297859156.4173856
0.0 0.007837992846091501  1483679494.8015144 1480964111.6523604
0.0 0.005552045830337365  1691848859.1305692 1689299921.1783173
0.0 0.002420617785068273  1929583971.7185671 1927166644.1887972
0.0 0.002412370579030203  2201095094.387279 2198948714.6788654
0.0 0.0023969349750162946  2511884790.8803854 2509943043.1052675
0.0 0.002385514100444701  2865705988.5060043 2863923854.492328
0.0 0.0020774113339381856  3270100971.980583 3268300280.8496337
0.0 0.0020674866759067996  3728213933.178604 3726552023.7097173
0.0 0.0020515236804339674  4250428107.9104524 4249010499.8151
0.0 0.00021712533140011295  4847201100.586419 4845616113.162749
0.0 0.00019592548341807985  5527624963.593917 5526090641.628591
0.0 0.00015757979096100313  6303839908.940131 6302453180.827555
0.0 0.00011996083675741344  7189257362.575369 7187975939.697832
0.0 7.998192292634304e-09  8200887719.584239 8199888947.580532
0.0 9.626076730005234e-10  9354872578.830082 9354021752.778059
