201
0.0 6.3469999999999995  116708992.58882423 0.0
0.0 6.346999970262824  116708992.58893509 0.000623412530115194
0.0 6.346999936890958  116708992.58906305 0.0020394029913504727
0.0 6.34699989926361  116708992.58921461 0.0052004022427873395
0.0 6.346999856382755  116708992.5894015 0.012104544624890272
0.0 6.346999806776234  116708992.58964373 0.026861580866316577
0.0 6.346999748145484  116708992.58997852 0.057535628147040566
0.0 6.346999676359465  116708992.59047298 0.11948859693955129
0.0 6.346999584213488  116708992.59124713 0.2412609360949587
0.0 6.346999459214114  116708992.59250686 0.47425125479933095
0.0 6.346999280167737  116708992.59460258 0.9076394476914331
0.0 6.346999012000336  116708992.59810655 1.6910938635331378
0.0 6.346998598011512  116708992.60393749 3.0686999048017567
0.0 6.34699794953803  116708992.61353773 5.424211850578094
0.0 6.346996931755495  116708992.62912042 9.343206621116257
0.0 6.346995342544995  116708992.65386662 15.704341393095245
0.0 6.34699289220411  116708992.69245821 25.769336566341718
0.0 6.3469891883022225  116708992.7509407 41.25034724219706
0.0 6.346983694732865  116708992.83788893 64.48400611420115
0.0 6.346975709238819  116708992.96446297 98.5308242487743
0.0 6.346964339415006  116708993.14516562 147.2819102816236
0.0 6.346948472970681  116708993.3982943 215.5998731928332
0.0 6.346926755989508  116708993.74732083 309.43612178390964
0.0 6.346897606385764  116708994.22024773 435.8114950354718
0.0 6.346859175597633  116708994.85229915 603.0536840494437
0.0 6.346809411853444  116708995.6852114 820.6335770265367
0.0 6.346746312577562  116708996.76813471 1098.221725127301
0.0 6.346667736472437  116708998.15495464 1446.7714372118164
0.0 6.346571602094149  116708999.91071138 1878.0416605082594
0.0 6.346456071233968  116709002.10878687 2404.2473056908284
0.0 6.346319659261922  116709004.8453732 3038.1029778397474
0.0 6.346161388359478  116709008.21785805 3792.5604040704357
0.0 6.345980893212761  116709012.33357418 4680.615240523757
0.0 6.345778529660437  116709017.30323362 5714.849523234349
0.0 6.34555530343542  116709023.27815223 6907.47470217925
0.0 6.345312749275536  116709030.40912057 8270.13147945113
0.0 6.345051233886588  116709038.84878999 9833.692433288319
0.0 6.3447719065326265  116709048.80062892 11614.483746073138
0.0 6.344476797791314  116709060.44047983 13618.482378469751
0.0 6.344166023390439  116709074.01664862 15857.556862315841
0.0 6.343838522665379  116709089.7877465 18343.85517247168
0.0 6.343493131169999  116709107.98654805 21080.13356485556
0.0 6.343126498776845  116709128.97098939 24076.082108259412
0.0 6.34273573533387  116709153.06184669 27329.76825039507
0.0 6.342316369653383  116709180.68219577 30847.561892290818
0.0 6.341865617582334  116709212.20998797 34620.87960595041
0.0 6.34137915760181  116709248.2391473 38656.303193990214
0.0 6.34085518129475  116709289.26848823 42943.38686673113
0.0 6.340293050154698  116709335.83839665 47467.00353844156
0.0 6.339689797054527  116709388.81561863 52234.65274575968
0.0 6.339044706748965  116709448.92757332 57238.39627390526
0.0 6.33835755713699  116709516.92441323 62468.56464179308
0.0 6.337624211974924  116709594.0132565 67946.41497973555
0.0 6.3368419332696275  116709681.33042808 73682.46819348565
0.0 6.33600733126612  116709780.11871609 79692.48824090243
0.0 6.3351164697722435  116709891.79963437 85996.85482318493
0.0 6.334165025528357  116710017.9472517 92619.76780285413
0.0 6.3331494316661034  116710160.18684769 99581.5996648998
0.0 6.332067918931592  116710320.16615996 106892.81176763496
0.0 6.330913251741544  116710500.6154606 114602.04882782191
0.0 6.3296819601513405  116710704.10355549 122732.75505423562
0.0 6.328371124203029  116710933.55600573 131304.95804934652
0.0 6.326978528058904  116711191.97264041 140332.9752807816
0.0 6.325502446180597  116711483.04579774 149827.26349875433
0.0 6.323941534334473  116711810.89839776 159794.94625249002
0.0 6.322294798417003  116712180.2288187 170240.7102474098
0.0 6.320561216926663  116712596.41233423 181169.60338329466
0.0 6.318739471567527  116713065.34964064 192589.06751297344
