201
0.0 6.347  124768052.43034735 0.0
0.0 6.346999989681176  124768052.43046467 0.0003752753294242531
0.0 6.346999978103967  124768052.43059862 0.0012205046582641841
0.0 6.346999965056845  124768052.43075454 0.0030996883609004716
0.0 6.346999950201839  124768052.43094255 0.007195430638227709
0.0 6.346999933045245  124768052.43118034 0.01594086804735104
0.0 6.346999912823626  124768052.43149814 0.03410937434523543
0.0 6.346999888167889  124768052.43195403 0.07079890610850559
0.0 6.34699985669862  124768052.43265231 0.1429054527991297
0.0 6.346999814298265  124768052.433767 0.28086130874160836
0.0 6.346999753990438  124768052.43560492 0.5374760266642175
0.0 6.346999664238768  124768052.43867038 1.0013770028211355
0.0 6.34699952640193  124768052.44376409 1.8171252971311933
0.0 6.346999311320886  124768052.45212367 3.212282920489991
0.0 6.3469989746076765  124768052.46561456 5.535367311169606
0.0 6.346998449591059  124768052.48702206 9.310258050126174
0.0 6.3469976405396205  124768052.520401 15.291760330759661
0.0 6.346996418094552  124768052.57094547 24.49294203009749
0.0 6.346994603715927  124768052.64595407 38.322779856015146
0.0 6.346991962236536  124768052.75498983 58.63205594319948
0.0 6.3469881916651065  124768052.91039133 87.79496293581465
0.0 6.3469829094773225  124768053.12783307 128.81235649233463
0.0 6.346975639643123  124768053.42693396 185.40822155219374
0.0 6.346965808407301  124768053.83067174 262.0532256785714
0.0 6.346952716216847  124768054.36788668 364.16839894800125
0.0 6.346935538137089  124768055.0725167 498.10278126536394
0.0 6.346913384754993  124768055.98347399 670.6330440884196
0.0 6.346885202317316  124768057.14114639 889.7112402639307
0.0 6.3468497921205245  124768058.59485583 1164.2783302217701
0.0 6.34680582837329  124768060.40028827 1504.0922936440122
0.0 6.346751823653518  124768062.62061925 1919.9429626287215
0.0 6.346686141504249  124768065.32688107 2423.544239126329
0.0 6.346606986454488  124768068.59455171 3027.5777835307917
0.0 6.346512421055239  124768072.52243309 3745.536358450561
0.0 6.346400344601617  124768077.19560629 4591.85891045326
0.0 6.346268487545751  124768082.72163776 5581.920386168063
0.0 6.346114105197347  124768089.24922541 6735.579304325526
0.0 6.3459343323510735  124768096.90359007 8071.323394859949
0.0 6.3457268505894175  124768105.81240556 9603.569094601942
0.0 6.345488474273005  124768116.15183555 11352.503373031628
0.0 6.345215688032992  124768128.15376796 13339.932769058147
0.0 6.344905729456329  124768141.98303948 15581.406193692317
0.0 6.344554795106232  124768157.89534245 18099.327837031342
0.0 6.344160182722108  124768176.12294596 20907.640969772652
0.0 6.343717919018489  124768197.00760123 24029.041624779948
0.0 6.343225680043824  124768220.81747 27474.56125754015
0.0 6.342679073181604  124768247.98771088 31270.131940369367
0.0 6.342075950860578  124768278.90435746 35426.80964912927
0.0 6.34141533236042  124768313.9605672 39949.16420584593
0.0 6.340693649758869  124768353.77182972 44861.35877506703
0.0 6.339910627505045  124768398.88172275 50167.29321646319
0.0 6.3390677951314425  124768449.83608426 55861.28579099743
0.0 6.338163463114129  124768507.50999685 61962.01556324558
0.0 6.337199420192226  124768572.73221546 68467.0727510001
0.0 6.336178492483393  124768646.43531175 75369.08713184505
0.0 6.3351044810945405  124768729.66861995 82655.42828283377
0.0 6.333982020395808  124768823.61172876 90308.22499633486
0.0 6.332817302154803  124768929.4959954 98298.21584235338
0.0 6.331618396439356  124769048.52761869 106580.91368229353
0.0 6.330386567279432  124769182.68070973 115155.23304435602
0.0 6.3291259988327155  124769333.81983049 123995.19918543639
0.0 6.327839331344332  124769504.04110372 133078.90014352178
0.0 6.326527100085867  124769695.69630794 142390.89004764296
0.0 6.3251871310565  124769911.43369548 151925.2742783311
0.0 6.32381411271181  124770154.24569367 161688.2887529389
0.0 6.322399654390196  124770427.49653462 171698.56063096575
0.0 6.320932371821599  124770734.99127173 181988.34255106407
0.0 6.319398444559104  124771081.02286905 192602.62339762674
0.0 6.31778233551436  124771470.4776897 203598.0228161147
0.0 6.316067626931459  124771908.28565133 215041.23490265588
0.0 6.31423779733105  124772401.25250597 227005.70173969108
0.0 6.312278154590492  124772956.51612064 239567.3195780429
0.0 6.310174979382582  124773582.36333503 252802.62634102246
0.0 6.3079164890699415  124774288.58482921 266783.44237799273
0.0 6.305493462212885  124775087.38354206 281571.9655085831
0.0 6.302898836221079  124775996.83216374 297218.7400499116
0.0 6.300127536395364  124777022.9849428 313778.90618788335
0.0 6.297175509221514  124778157.18595049 331279.37330396095
0.0 6.294041047345965  124779422.64270556 349694.3941402012
0.0 6.290724774439017  124780852.42880066 369010.3831328052
0.0 6.287225005733349  124782470.52370761 389216.65516322193
0.0 6.283540263481189  124784312.08002664 410291.6358694161
0.0 6.279688380067787  124786396.7330016 431916.83766007255
0.0 6.275643258746412  124788729.4180667 454380.7309921217
0.0 6.271397696863144  124791361.053336 477624.92953199183
0.0 6.266938865105667  124794359.74327251 501684.4099302932
0.0 6.262247921522388  124797749.4384224 526590.7171142158
0.0 6.257305846643694  124801587.71816735 552366.5812576341
0.0 6.2520863335488945  124805937.81077366 579076.0127560444
0.0 6.246572736059458  124810891.70279375 606744.323858896
0.0 6.240727947832989  124816563.67606507 635567.9672116479
0.0 6.234539601482559  124823016.97366077 665694.2330280626
0.0 6.227978276024692  124830328.55513045 697259.3131738645
0.0 6.2210226720860025  124838654.04941767 730395.6680122281
0.0 6.2136431626180215  124848177.69931641 765333.2546277794
0.0 6.205808140583138  124859066.51452492 802310.0369261417
0.0 6.197473760086791  124871526.90295409 841602.1879374064
0.0 6.188591286065879  124885838.32560976 883487.3729864454
0.0 6.179105032878938  124902280.28680865 928249.8398255302
0.0 6.168957518088689  124921251.28572619 976305.8695104027
0.0 6.158075538538936  124943160.88149284 1028080.1552009762
0.0 6.146366623948819  124968698.30814636 1084092.3268200608
0.0 6.133747418730648  124998322.9304143 1144971.6884823893
0.0 6.120099627644897  125032675.23746209 1211446.2884158609
0.0 6.105265229073911  125072654.34114823 1284388.9508208106
0.0 6.089044726972678  125119313.1315793 1365001.4094547816
0.0 6.071203889211615  125173857.46199332 1454613.2988979726
0.0 6.051482204598295  125237879.52441421 1555100.3535549429
0.0 6.029613010125114  125313055.22068682 1668725.6881511705
0.0 6.0053044710313035  125401834.43464053 1799207.5209355715
0.0 5.978319236610416  125506684.68087578 1950102.4416454013
0.0 5.948720655785129  125629475.32620282 2121550.070342641
0.0 5.916098832035717  125774331.98500255 2321380.0955375894
0.0 5.8806598646759065  125944412.02134961 2552627.2942684693
0.0 5.842316689628666  126144550.37323551 2821717.996804764
0.0 5.800590990110815  126380858.66371845 3137778.2042178777
0.0 5.7553412006571225  126658572.46744443 3507035.301243949
0.0 5.7057152793848935  126985685.46840036 3940581.9127921257
0.0 5.650011242662176  127372593.37870549 4456274.825804256
0.0 5.588445259233992  127826729.43314736 5056828.783114855
0.0 5.5203041778706385  128360129.77755763 5758853.46306991
0.0 5.444862480651417  128985071.78203627 6581200.98281552
0.0 5.3618569698237275  129716731.55447741 7545036.072420629
0.0 5.27086555510464  130573818.76491164 8678302.141908808
0.0 5.173416249056527  131571065.05247001 9992919.115966652
0.0 5.069200166031082  132733098.09095244 11529006.369696274
0.0 4.95859473665591  134082813.80964194 13322811.878967684
0.0 4.841805789415505  135655988.33520192 15420597.90281961
0.0 4.718777337896784  137477725.10321492 17866670.63666222
0.0 4.5892150238020815  139587237.76702863 20725648.45475204
0.0 4.453254319341843  142018547.03345087 24055951.07701665
0.0 4.310444597029028  144832298.6585041 27941421.142047554
0.0 4.162452143041744  148050305.396051 32433291.158092145
0.0 4.0083579233516105  151750536.26171973 37650267.12730227
0.0 3.8494347646434437  155955114.84273177 43637581.17264321
0.0 3.6848017846316043  160692528.98406863 50492831.98721749
0.0 3.5146305519364422  165984040.14655685 58318604.57553464
0.0 3.3387473428944894  171862774.02012268 67251031.02309592
0.0 3.158772819007293  178269632.79512975 77332223.64862972
0.0 2.9804271860431717  185106334.9375549 88518035.84879287
